"area_code","area","item_code","item","element_code","element","year_code","year","unit","value","flag"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1961,"1961","Gigagrams",58320.759,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1962,"1962","Gigagrams",58357.4411,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1963,"1963","Gigagrams",54804.7296,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1964,"1964","Gigagrams",57656.97,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1965,"1965","Gigagrams",62965.4871,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1966,"1966","Gigagrams",65459.52,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1967,"1967","Gigagrams",68314.1014,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1968,"1968","Gigagrams",68274.5794,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1969,"1969","Gigagrams",64123.6348,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1970,"1970","Gigagrams",64306.6261,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1971,"1971","Gigagrams",65795.856,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1972,"1972","Gigagrams",68692.1256,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1973,"1973","Gigagrams",71594.8054,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1974,"1974","Gigagrams",71623.9559,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1975,"1975","Gigagrams",73184.5272,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1976,"1976","Gigagrams",74941.5668,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1977,"1977","Gigagrams",78078.7489,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1978,"1978","Gigagrams",73886.9134,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1979,"1979","Gigagrams",72787.4364,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1980,"1980","Gigagrams",71461.7269,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1981,"1981","Gigagrams",69732.6269,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1982,"1982","Gigagrams",67717.7138,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1983,"1983","Gigagrams",69005.79,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1984,"1984","Gigagrams",69692.364,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1985,"1985","Gigagrams",69106.8,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1986,"1986","Gigagrams",67430.9473,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1987,"1987","Gigagrams",65549.904,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1988,"1988","Gigagrams",67024.2025,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1989,"1989","Gigagrams",67473.7778,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1990,"1990","Gigagrams",67689.1958,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1991,"1991","Gigagrams",66986.472,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1992,"1992","Gigagrams",67470.396,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1993,"1993","Gigagrams",66361.5225,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1994,"1994","Gigagrams",66852.2833,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1995,"1995","Gigagrams",66045.6365,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1996,"1996","Gigagrams",63773.3502,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1997,"1997","Gigagrams",62791.6254,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1998,"1998","Gigagrams",60496.5564,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",1999,"1999","Gigagrams",61781.5947,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",2000,"2000","Gigagrams",61310.0334,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",2001,"2001","Gigagrams",61499.7894,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",2002,"2002","Gigagrams",65067.45,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",2003,"2003","Gigagrams",69747.4635,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",2004,"2004","Gigagrams",71025.4675,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",2005,"2005","Gigagrams",71324.6628,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",2006,"2006","Gigagrams",72916.6618,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",2007,"2007","Gigagrams",73439.689,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",2008,"2008","Gigagrams",72063.2815,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",2009,"2009","Gigagrams",68303.6923,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",2010,"2010","Gigagrams",61758.9757,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",2011,"2011","Gigagrams",60623.0302,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",2012,"2012","Gigagrams",62856.678,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",2013,"2013","Gigagrams",64227.0538,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",2014,"2014","Gigagrams",65015.8296,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",2030,"2030","Gigagrams",82029.3873,"A"
9,"Argentina",5058,"Enteric Fermentation",7231,"Emissions (CO2eq)",2050,"2050","Gigagrams",84046.9505,"A"
9,"Argentina",5058,"Enteric Fermentation",7244,"Emissions (CO2eq) from CH4",1961,"1961","Gigagrams",58320.759,"A"
9,"Argentina",5058,"Enteric Fermentation",7244,"Emissions (CO2eq) from CH4",1962,"1962","Gigagrams",58357.4411,"A"
9,"Argentina",5058,"Enteric Fermentation",7244,"Emissions (CO2eq) from CH4",1963,"1963","Gigagrams",54804.7296,"A"
9,"Argentina",5058,"Enteric Fermentation",7244,"Emissions (CO2eq) from CH4",1964,"1964","Gigagrams",57656.97,"A"
9,"Argentina",5058,"Enteric Fermentation",7244,"Emissions (CO2eq) from CH4",1965,"1965","Gigagrams",62965.4871,"A"
9,"Argentina",5058,"Enteric Fermentation",7244,"Emissions (CO2eq) from CH4",1966,"1966","Gigagrams",65459.52,"A"
9,"Argentina",5058,"Enteric Fermentation",7244,"Emissions (CO2eq) from CH4",1967,"1967","Gigagrams",68314.1014,"A"
9,"Argentina",5058,"Enteric Fermentation",7244,"Emissions (CO2eq) from CH4",1968,"1968","Gigagrams",68274.5794,"A"
9,"Argentina",5058,"Enteric Fermentation",7244,"Emissions (CO2eq) from CH4",1969,"1969","Gigagrams",64123.6348,"A"
9,"Argentina",5058,"Enteric Fermentation",7244,"Emissions (CO2eq) from CH4",1970,"1970","Gigagrams",64306.6261,"A"
9,"Argentina",5058,"Enteric Fermentation",7244,"Emissions (CO2eq) from CH4",1971,"1971","Gigagrams",65795.856,"A"
9,"Argentina",5058,"Enteric Fermentation",7244,"Emissions (CO2eq) from CH4",1972,"1972","Gigagrams",68692.1256,"A"
