"area_code","area","source_code","source","indicator_code","indicator","year_code","year","unit","value","flag"
9,"Argentina",3015,"Administrative records",21081,"Wage employment distribution, agriculture",2006,"2006","%",5.2,"XI"
9,"Argentina",3015,"Administrative records",21081,"Wage employment distribution, agriculture",2007,"2007","%",5,"XI"
9,"Argentina",3015,"Administrative records",21081,"Wage employment distribution, agriculture",2008,"2008","%",4.9,"XI"
9,"Argentina",3015,"Administrative records",21081,"Wage employment distribution, agriculture",2009,"2009","%",4.8,"XI"
9,"Argentina",3015,"Administrative records",21081,"Wage employment distribution, agriculture",2010,"2010","%",4.7,"XI"
9,"Argentina",3015,"Administrative records",21081,"Wage employment distribution, agriculture",2011,"2011","%",4.7,"XI"
9,"Argentina",3015,"Administrative records",21081,"Wage employment distribution, agriculture",2012,"2012","%",4.6,"XI"
9,"Argentina",3015,"Administrative records",21081,"Wage employment distribution, agriculture",2013,"2013","%",4.6,"XI"
9,"Argentina",3023,"Labour force survey",21063,"Employment distribution, agriculture",2010,"2010","%",3,"XI"
9,"Argentina",3023,"Labour force survey",21063,"Employment distribution, agriculture",2011,"2011","%",3.1,"XI"
9,"Argentina",3023,"Labour force survey",21063,"Employment distribution, agriculture",2012,"2012","%",3,"XI"
9,"Argentina",3023,"Labour force survey",21063,"Employment distribution, agriculture",2013,"2013","%",2.4,"XI"
9,"Argentina",3023,"Labour force survey",21061,"Employment distribution, agriculture, female",2010,"2010","%",0.2,"XI"
9,"Argentina",3023,"Labour force survey",21061,"Employment distribution, agriculture, female",2011,"2011","%",0.3,"XI"
9,"Argentina",3023,"Labour force survey",21061,"Employment distribution, agriculture, female",2012,"2012","%",0.3,"XI"
9,"Argentina",3023,"Labour force survey",21062,"Employment distribution, agriculture, male",2010,"2010","%",2.8,"XI"
9,"Argentina",3023,"Labour force survey",21062,"Employment distribution, agriculture, male",2011,"2011","%",2.8,"XI"
9,"Argentina",3023,"Labour force survey",21062,"Employment distribution, agriculture, male",2012,"2012","%",2.8,"XI"
9,"Argentina",3023,"Labour force survey",21066,"Employment in agriculture",2010,"2010","1000 persons",447.6,"XI"
9,"Argentina",3023,"Labour force survey",21066,"Employment in agriculture",2011,"2011","1000 persons",477.8,"XI"
9,"Argentina",3023,"Labour force survey",21066,"Employment in agriculture",2012,"2012","1000 persons",477.7,"XI"
9,"Argentina",3023,"Labour force survey",21064,"Employment in agriculture, female",2010,"2010","1000 persons",29.5,"XI"
9,"Argentina",3023,"Labour force survey",21064,"Employment in agriculture, female",2011,"2011","1000 persons",42.1,"XI"
9,"Argentina",3023,"Labour force survey",21064,"Employment in agriculture, female",2012,"2012","1000 persons",42.8,"XI"
9,"Argentina",3023,"Labour force survey",21065,"Employment in agriculture, male",2010,"2010","1000 persons",418.2,"XI"
9,"Argentina",3023,"Labour force survey",21065,"Employment in agriculture, male",2011,"2011","1000 persons",435.7,"XI"
9,"Argentina",3023,"Labour force survey",21065,"Employment in agriculture, male",2012,"2012","1000 persons",435,"XI"
9,"Argentina",3023,"Labour force survey",21075,"Time related underemployment distribution, agriculture",2010,"2010","%",0,"XI"
9,"Argentina",3023,"Labour force survey",21075,"Time related underemployment distribution, agriculture",2011,"2011","%",0,"XI"
9,"Argentina",3023,"Labour force survey",21075,"Time related underemployment distribution, agriculture",2012,"2012","%",0,"XI"
9,"Argentina",3023,"Labour force survey",21073,"Time related underemployment distribution, agriculture, female",2010,"2010","%",0,"XI"
9,"Argentina",3023,"Labour force survey",21073,"Time related underemployment distribution, agriculture, female",2011,"2011","%",0,"XI"
9,"Argentina",3023,"Labour force survey",21073,"Time related underemployment distribution, agriculture, female",2012,"2012","%",0,"XI"
