"area_code","area","item_code","item","element_group","element_code","element","year_code","unit","value","flag"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1971,"%",94.46,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1972,"%",94.38,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1973,"%",89.06,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1974,"%",84.52,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1975,"%",80.87,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1976,"%",80.8,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1977,"%",79.99,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1978,"%",75.85,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1979,"%",67.76,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1980,"%",62.3,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1981,"%",62.19,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1982,"%",55.93,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1983,"%",56.55,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1984,"%",54.9,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1985,"%",53.38,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1986,"%",49.51,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1987,"%",50.28,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1988,"%",58.51,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1989,"%",58.36,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1990,"%",52.83,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1991,"%",56.35,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1992,"%",52.68,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1993,"%",48.95,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1994,"%",49.87,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1995,"%",53.4,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1996,"%",57.72,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1997,"%",52.34,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1998,"%",56.84,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",1999,"%",61.76,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",2000,"%",54.4,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",2001,"%",48.67,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",2002,"%",48.96,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",2003,"%",52.31,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",2004,"%",44.78,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",2005,"%",43.65,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",2006,"%",45.99,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",2007,"%",50.69,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",2008,"%",56.85,"Fc"
9,"Argentina",6740,"Bioenergy production",7204,72041,"Bioenergy production as a % of total renewable energy production",2009,"%",52.89,"Fc"
9,"Argentina",6741,"Energy used in agriculture and forestry",7204,72040,"Agriculture and forestry energy use as a % of total Energy use",1971,"%",3.77,"Fc"
9,"Argentina",6741,"Energy used in agriculture and forestry",7204,72040,"Agriculture and forestry energy use as a % of total Energy use",1972,"%",4.07,"Fc"
9,"Argentina",6741,"Energy used in agriculture and forestry",7204,72040,"Agriculture and forestry energy use as a % of total Energy use",1973,"%",3.99,"Fc"
9,"Argentina",6741,"Energy used in agriculture and forestry",7204,72040,"Agriculture and forestry energy use as a % of total Energy use",1974,"%",4.25,"Fc"
9,"Argentina",6741,"Energy used in agriculture and forestry",7204,72040,"Agriculture and forestry energy use as a % of total Energy use",1975,"%",4.75,"Fc"
9,"Argentina",6741,"Energy used in agriculture and forestry",7204,72040,"Agriculture and forestry energy use as a % of total Energy use",1976,"%",5.05,"Fc"
9,"Argentina",6741,"Energy used in agriculture and forestry",7204,72040,"Agriculture and forestry energy use as a % of total Energy use",1977,"%",4.99,"Fc"
9,"Argentina",6741,"Energy used in agriculture and forestry",7204,72040,"Agriculture and forestry energy use as a % of total Energy use",1978,"%",4.98,"Fc"
9,"Argentina",6741,"Energy used in agriculture and forestry",7204,72040,"Agriculture and forestry energy use as a % of total Energy use",1979,"%",5.15,"Fc"
9,"Argentina",6741,"Energy used in agriculture and forestry",7204,72040,"Agriculture and forestry energy use as a % of total Energy use",1980,"%",5.06,"Fc"
9,"Argentina",6741,"Energy used in agriculture and forestry",7204,72040,"Agriculture and forestry energy use as a % of total Energy use",1981,"%",5.05,"Fc"
9,"Argentina",6741,"Energy used in agriculture and forestry",7204,72040,"Agriculture and forestry energy use as a % of total Energy use",1982,"%",5.22,"Fc"
