"area_code","area","item_code","item","element_group","element_code","element","year_code","unit","value","flag"
9,"Argentina",3105,"Nitrogen + Phosphate Fertilizers (N+P205 total nutrients) + (Total)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2002,"tonnes of nutrients",28.45,"Fc"
9,"Argentina",3105,"Nitrogen + Phosphate Fertilizers (N+P205 total nutrients) + (Total)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2003,"tonnes of nutrients",39.13,"Fc"
9,"Argentina",3105,"Nitrogen + Phosphate Fertilizers (N+P205 total nutrients) + (Total)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2004,"tonnes of nutrients",42.87,"Fc"
9,"Argentina",3105,"Nitrogen + Phosphate Fertilizers (N+P205 total nutrients) + (Total)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2005,"tonnes of nutrients",34.03,"Fc"
9,"Argentina",3105,"Nitrogen + Phosphate Fertilizers (N+P205 total nutrients) + (Total)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2006,"tonnes of nutrients",39.21,"Fc"
9,"Argentina",3105,"Nitrogen + Phosphate Fertilizers (N+P205 total nutrients) + (Total)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2007,"tonnes of nutrients",46.68,"Fc"
9,"Argentina",3105,"Nitrogen + Phosphate Fertilizers (N+P205 total nutrients) + (Total)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2008,"tonnes of nutrients",33.23,"Fc"
9,"Argentina",3105,"Nitrogen + Phosphate Fertilizers (N+P205 total nutrients) + (Total)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2009,"tonnes of nutrients",22.24,"Fc"
9,"Argentina",3105,"Nitrogen + Phosphate Fertilizers (N+P205 total nutrients) + (Total)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2010,"tonnes of nutrients",38.25,"Fc"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2002,"tonnes of nutrients",18.52,"Fc"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2003,"tonnes of nutrients",24.95,"Fc"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2004,"tonnes of nutrients",25.06,"Fc"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2005,"tonnes of nutrients",18.89,"Fc"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2006,"tonnes of nutrients",21.97,"Fc"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2007,"tonnes of nutrients",26.22,"Fc"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2008,"tonnes of nutrients",21.13,"Fc"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2009,"tonnes of nutrients",13.71,"Fc"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2010,"tonnes of nutrients",23.88,"Fc"
9,"Argentina",3103,"Phosphate Fertilizers (P205 total nutrients)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2002,"tonnes of nutrients",9.93,"Fc"
9,"Argentina",3103,"Phosphate Fertilizers (P205 total nutrients)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2003,"tonnes of nutrients",14.18,"Fc"
9,"Argentina",3103,"Phosphate Fertilizers (P205 total nutrients)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2004,"tonnes of nutrients",17.8,"Fc"
9,"Argentina",3103,"Phosphate Fertilizers (P205 total nutrients)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2005,"tonnes of nutrients",15.14,"Fc"
9,"Argentina",3103,"Phosphate Fertilizers (P205 total nutrients)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2006,"tonnes of nutrients",17.25,"Fc"
9,"Argentina",3103,"Phosphate Fertilizers (P205 total nutrients)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2007,"tonnes of nutrients",20.47,"Fc"
9,"Argentina",3103,"Phosphate Fertilizers (P205 total nutrients)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2008,"tonnes of nutrients",12.1,"Fc"
9,"Argentina",3103,"Phosphate Fertilizers (P205 total nutrients)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2009,"tonnes of nutrients",8.53,"Fc"
9,"Argentina",3103,"Phosphate Fertilizers (P205 total nutrients)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2010,"tonnes of nutrients",14.37,"Fc"
104,"Ireland",3105,"Nitrogen + Phosphate Fertilizers (N+P205 total nutrients) + (Total)",5159,5159,"Nutrient use on arable and permanent crop area (tonnes of n",2002,"tonnes of nutrients",482.42,"Fc"
