"area_code","area","item_code","item","element_code","element","year_code","year","unit","value","flag"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5515,"Production Quantity in nutrients",2002,"2002","tonnes of nutrients",523700,"Fm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5515,"Production Quantity in nutrients",2003,"2003","tonnes of nutrients",607492,"Fm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5515,"Production Quantity in nutrients",2004,"2004","tonnes of nutrients",627693,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5515,"Production Quantity in nutrients",2005,"2005","tonnes of nutrients",574741,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5515,"Production Quantity in nutrients",2006,"2006","tonnes of nutrients",659115,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5515,"Production Quantity in nutrients",2007,"2007","tonnes of nutrients",468938,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5515,"Production Quantity in nutrients",2008,"2008","tonnes of nutrients",405948,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5515,"Production Quantity in nutrients",2009,"2009","tonnes of nutrients",514223,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5515,"Production Quantity in nutrients",2010,"2010","tonnes of nutrients",433113,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5515,"Production Quantity in nutrients",2011,"2011","tonnes of nutrients",533256,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5515,"Production Quantity in nutrients",2012,"2012","tonnes of nutrients",542503,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5515,"Production Quantity in nutrients",2013,"2013","tonnes of nutrients",506000,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5515,"Production Quantity in nutrients",2014,"2014","tonnes of nutrients",527252,"Fm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5615,"Import Quantity in nutrients",2002,"2002","tonnes of nutrients",174099,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5615,"Import Quantity in nutrients",2003,"2003","tonnes of nutrients",300939,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5615,"Import Quantity in nutrients",2004,"2004","tonnes of nutrients",364370,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5615,"Import Quantity in nutrients",2005,"2005","tonnes of nutrients",296314,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5615,"Import Quantity in nutrients",2006,"2006","tonnes of nutrients",386171,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5615,"Import Quantity in nutrients",2007,"2007","tonnes of nutrients",626115,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5615,"Import Quantity in nutrients",2008,"2008","tonnes of nutrients",423724,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5615,"Import Quantity in nutrients",2009,"2009","tonnes of nutrients",172741,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5615,"Import Quantity in nutrients",2010,"2010","tonnes of nutrients",445258,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5615,"Import Quantity in nutrients",2011,"2011","tonnes of nutrients",469523,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5615,"Import Quantity in nutrients",2012,"2012","tonnes of nutrients",459908,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5615,"Import Quantity in nutrients",2013,"2013","tonnes of nutrients",223443,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5615,"Import Quantity in nutrients",2014,"2014","tonnes of nutrients",439098,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5915,"Export Quantity in nutrients",2002,"2002","tonnes of nutrients",163206,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5915,"Export Quantity in nutrients",2003,"2003","tonnes of nutrients",167772,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5915,"Export Quantity in nutrients",2004,"2004","tonnes of nutrients",195640,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5915,"Export Quantity in nutrients",2005,"2005","tonnes of nutrients",230649,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5915,"Export Quantity in nutrients",2006,"2006","tonnes of nutrients",257610,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5915,"Export Quantity in nutrients",2007,"2007","tonnes of nutrients",113702,"Qm"
9,"Argentina",3102,"Nitrogen Fertilizers (N total nutrients)",5915,"Export Quantity in nutrients",2008,"2008","tonnes of nutrients",67714,"Qm"
