"area_code","area","item_code","item","element_code","element","year_code","year","unit","value","flag"
9,"Argentina",1310,"Chlorinated Hydrocarbons",5161,"Use",1993,"1993","tonnes of active ingredients",44,"Q"
9,"Argentina",1310,"Chlorinated Hydrocarbons",5161,"Use",1994,"1994","tonnes of active ingredients",25,"Q"
9,"Argentina",1310,"Chlorinated Hydrocarbons",5161,"Use",1995,"1995","tonnes of active ingredients",24,"Q"
9,"Argentina",1310,"Chlorinated Hydrocarbons",5161,"Use",1996,"1996","tonnes of active ingredients",25,"Q"
9,"Argentina",1310,"Chlorinated Hydrocarbons",5161,"Use",1997,"1997","tonnes of active ingredients",17,"Q"
9,"Argentina",1310,"Chlorinated Hydrocarbons",5161,"Use",1998,"1998","tonnes of active ingredients",1192,"Q"
9,"Argentina",1311,"Organo-Phosphates",5161,"Use",1993,"1993","tonnes of active ingredients",1793,"Q"
9,"Argentina",1311,"Organo-Phosphates",5161,"Use",1994,"1994","tonnes of active ingredients",2532,"Q"
9,"Argentina",1311,"Organo-Phosphates",5161,"Use",1995,"1995","tonnes of active ingredients",2955,"Q"
9,"Argentina",1311,"Organo-Phosphates",5161,"Use",1996,"1996","tonnes of active ingredients",5400,"Q"
9,"Argentina",1311,"Organo-Phosphates",5161,"Use",1997,"1997","tonnes of active ingredients",7066,"Q"
9,"Argentina",1311,"Organo-Phosphates",5161,"Use",1998,"1998","tonnes of active ingredients",4779,"Q"
9,"Argentina",1311,"Organo-Phosphates",5161,"Use",2014,"2014","tonnes of active ingredients",5932.1,"Q"
9,"Argentina",1312,"Carbamates Insecticides",5161,"Use",1993,"1993","tonnes of active ingredients",593,"Q"
9,"Argentina",1312,"Carbamates Insecticides",5161,"Use",1994,"1994","tonnes of active ingredients",546,"Q"
9,"Argentina",1312,"Carbamates Insecticides",5161,"Use",1995,"1995","tonnes of active ingredients",904,"Q"
9,"Argentina",1312,"Carbamates Insecticides",5161,"Use",1996,"1996","tonnes of active ingredients",1338,"Q"
9,"Argentina",1312,"Carbamates Insecticides",5161,"Use",1997,"1997","tonnes of active ingredients",1802,"Q"
9,"Argentina",1312,"Carbamates Insecticides",5161,"Use",1998,"1998","tonnes of active ingredients",385,"Q"
9,"Argentina",1312,"Carbamates Insecticides",5161,"Use",2014,"2014","tonnes of active ingredients",131.3,"Q"
9,"Argentina",1313,"Pyrethroids",5161,"Use",1993,"1993","tonnes of active ingredients",131,"Q"
9,"Argentina",1313,"Pyrethroids",5161,"Use",1994,"1994","tonnes of active ingredients",346,"Q"
9,"Argentina",1313,"Pyrethroids",5161,"Use",1995,"1995","tonnes of active ingredients",538,"Q"
9,"Argentina",1313,"Pyrethroids",5161,"Use",1996,"1996","tonnes of active ingredients",804,"Q"
9,"Argentina",1313,"Pyrethroids",5161,"Use",1997,"1997","tonnes of active ingredients",1269,"Q"
9,"Argentina",1313,"Pyrethroids",5161,"Use",1998,"1998","tonnes of active ingredients",447,"Q"
9,"Argentina",1313,"Pyrethroids",5161,"Use",2014,"2014","tonnes of active ingredients",829,"Q"
9,"Argentina",1314,"Botanic.Produc&Biologic.",5161,"Use",1993,"1993","tonnes of active ingredients",23,"Q"
9,"Argentina",1314,"Botanic.Produc&Biologic.",5161,"Use",1994,"1994","tonnes of active ingredients",37,"Q"
9,"Argentina",1314,"Botanic.Produc&Biologic.",5161,"Use",1995,"1995","tonnes of active ingredients",16,"Q"
9,"Argentina",1314,"Botanic.Produc&Biologic.",5161,"Use",1996,"1996","tonnes of active ingredients",48,"Q"
9,"Argentina",1314,"Botanic.Produc&Biologic.",5161,"Use",1997,"1997","tonnes of active ingredients",221,"Q"
9,"Argentina",1314,"Botanic.Produc&Biologic.",5161,"Use",1998,"1998","tonnes of active ingredients",9,"Q"
9,"Argentina",1314,"Botanic.Produc&Biologic.",5161,"Use",2014,"2014","tonnes of active ingredients",23.6,"Q"
9,"Argentina",1315,"Other Insecticides",5161,"Use",1993,"1993","tonnes of active ingredients",919,"Q"
9,"Argentina",1315,"Other Insecticides",5161,"Use",1994,"1994","tonnes of active ingredients",1397,"Q"
9,"Argentina",1315,"Other Insecticides",5161,"Use",1995,"1995","tonnes of active ingredients",1751,"Q"
9,"Argentina",1315,"Other Insecticides",5161,"Use",1996,"1996","tonnes of active ingredients",1841,"Q"
9,"Argentina",1315,"Other Insecticides",5161,"Use",1997,"1997","tonnes of active ingredients",2160,"Q"
9,"Argentina",1315,"Other Insecticides",5161,"Use",1998,"1998","tonnes of active ingredients",1152,"Q"
9,"Argentina",1315,"Other Insecticides",5161,"Use",2014,"2014","tonnes of active ingredients",1003.3,"Q"
9,"Argentina",1316,"Mineral Oils",5161,"Use",1998,"1998","tonnes of active ingredients",764,"Q"
9,"Argentina",1316,"Mineral Oils",5161,"Use",2014,"2014","tonnes of active ingredients",1490.3,"Q"
9,"Argentina",1321,"Phenoxy Hormone Products",5161,"Use",1993,"1993","tonnes of active ingredients",515,"Q"
9,"Argentina",1321,"Phenoxy Hormone Products",5161,"Use",1994,"1994","tonnes of active ingredients",885,"Q"
9,"Argentina",1321,"Phenoxy Hormone Products",5161,"Use",1995,"1995","tonnes of active ingredients",453,"Q"
9,"Argentina",1321,"Phenoxy Hormone Products",5161,"Use",1996,"1996","tonnes of active ingredients",1550,"Q"
9,"Argentina",1321,"Phenoxy Hormone Products",5161,"Use",1997,"1997","tonnes of active ingredients",2880,"Q"
9,"Argentina",1321,"Phenoxy Hormone Products",5161,"Use",1998,"1998","tonnes of active ingredients",1772,"Q"
9,"Argentina",1321,"Phenoxy Hormone Products",5161,"Use",2014,"2014","tonnes of active ingredients",4460.8,"Q"
9,"Argentina",1322,"Triazines",5161,"Use",1993,"1993","tonnes of active ingredients",4274,"Q"
9,"Argentina",1322,"Triazines",5161,"Use",1994,"1994","tonnes of active ingredients",3654,"Q"
9,"Argentina",1322,"Triazines",5161,"Use",1995,"1995","tonnes of active ingredients",4290,"Q"
9,"Argentina",1322,"Triazines",5161,"Use",1996,"1996","tonnes of active ingredients",9034,"Q"
9,"Argentina",1322,"Triazines",5161,"Use",1997,"1997","tonnes of active ingredients",12471,"Q"
9,"Argentina",1322,"Triazines",5161,"Use",1998,"1998","tonnes of active ingredients",3759,"Q"
9,"Argentina",1322,"Triazines",5161,"Use",2014,"2014","tonnes of active ingredients",777,"Q"
9,"Argentina",1323,"Amides",5161,"Use",1993,"1993","tonnes of active ingredients",2388,"Q"
9,"Argentina",1323,"Amides",5161,"Use",1994,"1994","tonnes of active ingredients",3892,"Q"
9,"Argentina",1323,"Amides",5161,"Use",1995,"1995","tonnes of active ingredients",7159,"Q"
9,"Argentina",1323,"Amides",5161,"Use",1996,"1996","tonnes of active ingredients",9570,"Q"
9,"Argentina",1323,"Amides",5161,"Use",1997,"1997","tonnes of active ingredients",14770,"Q"
9,"Argentina",1323,"Amides",5161,"Use",1998,"1998","tonnes of active ingredients",7462,"Q"
9,"Argentina",1323,"Amides",5161,"Use",2014,"2014","tonnes of active ingredients",6574.6,"Q"
9,"Argentina",1324,"Carbamates Herbicides",5161,"Use",1993,"1993","tonnes of active ingredients",37,"Q"
9,"Argentina",1324,"Carbamates Herbicides",5161,"Use",1994,"1994","tonnes of active ingredients",28,"Q"
9,"Argentina",1324,"Carbamates Herbicides",5161,"Use",1995,"1995","tonnes of active ingredients",36,"Q"
9,"Argentina",1324,"Carbamates Herbicides",5161,"Use",1996,"1996","tonnes of active ingredients",588,"Q"
9,"Argentina",1324,"Carbamates Herbicides",5161,"Use",1997,"1997","tonnes of active ingredients",650,"Q"
