"area_code","area","item_code","item","element_code","element","year_code","year","unit","value","flag"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1961,"1961","ha",,"M"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1962,"1962","ha",,"M"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1963,"1963","ha",,"M"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1964,"1964","ha",,"M"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1965,"1965","ha",,"M"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1966,"1966","ha",,"M"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1967,"1967","ha",,"M"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1968,"1968","ha",,"M"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1969,"1969","ha",,"M"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1970,"1970","ha",,"M"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1971,"1971","ha",,"M"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1972,"1972","ha",,"M"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1973,"1973","ha",,"M"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1974,"1974","ha",,"M"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1975,"1975","ha",,"M"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1976,"1976","ha",,"M"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1977,"1977","ha",,"M"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1978,"1978","ha",,"M"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1979,"1979","ha",,"M"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1980,"1980","ha",,"M"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1981,"1981","ha",,"M"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1982,"1982","ha",,"M"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1983,"1983","ha",,"M"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1984,"1984","ha",,"M"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1985,"1985","ha",235,"F"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1986,"1986","ha",235,"F"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1987,"1987","ha",235,"F"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1988,"1988","ha",235,"F"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1989,"1989","ha",235,"F"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1990,"1990","ha",222,"Im"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1991,"1991","ha",226,"Im"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1992,"1992","ha",231,"Im"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1993,"1993","ha",237,"Im"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1994,"1994","ha",238,"Im"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1995,"1995","ha",240,"Im"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1996,"1996","ha",242,"Im"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1997,"1997","ha",242,"Im"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1998,"1998","ha",242,"Im"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",1999,"1999","ha",240,"F"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",2000,"2000","ha",246,"Im"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",2001,"2001","ha",248,"Im"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",2002,"2002","ha",250,"F"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",2003,"2003","ha",252,"Im"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",2004,"2004","ha",254,"Im"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",2005,"2005","ha",257,"Im"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",2006,"2006","ha",260,"F"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",2007,"2007","ha",270,"F"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",2008,"2008","ha",283,"Im"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",2009,"2009","ha",300,"F"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",2010,"2010","ha",300,"F"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",2011,"2011","ha",300,"F"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",2012,"2012","ha",400,"F"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",2013,"2013","ha",382,"Im"
9,"Argentina",221,"Almonds, with shell",5312,"Area harvested",2014,"2014","ha",347,"Im"
9,"Argentina",221,"Almonds, with shell",5419,"Yield",1985,"1985","hg/ha",17021,"Fc"
9,"Argentina",221,"Almonds, with shell",5419,"Yield",1986,"1986","hg/ha",17021,"Fc"
9,"Argentina",221,"Almonds, with shell",5419,"Yield",1987,"1987","hg/ha",17021,"Fc"
9,"Argentina",221,"Almonds, with shell",5419,"Yield",1988,"1988","hg/ha",17021,"Fc"
9,"Argentina",221,"Almonds, with shell",5419,"Yield",1989,"1989","hg/ha",17872,"Fc"
9,"Argentina",221,"Almonds, with shell",5419,"Yield",1990,"1990","hg/ha",19016,"Fc"
9,"Argentina",221,"Almonds, with shell",5419,"Yield",1991,"1991","hg/ha",19015,"Fc"
