"area_code","area","item_code","item","element_code","element","year_code","year","unit","value","flag"
9,"Argentina",1107,"Asses",5111,"Stocks",1961,"1961","Head",129000,"F"
9,"Argentina",1107,"Asses",5111,"Stocks",1962,"1962","Head",120000,"F"
9,"Argentina",1107,"Asses",5111,"Stocks",1963,"1963","Head",110000,"F"
9,"Argentina",1107,"Asses",5111,"Stocks",1964,"1964","Head",100000,""
9,"Argentina",1107,"Asses",5111,"Stocks",1965,"1965","Head",100000,"F"
9,"Argentina",1107,"Asses",5111,"Stocks",1966,"1966","Head",98000,"F"
9,"Argentina",1107,"Asses",5111,"Stocks",1967,"1967","Head",98000,"F"
9,"Argentina",1107,"Asses",5111,"Stocks",1968,"1968","Head",97000,"F"
9,"Argentina",1107,"Asses",5111,"Stocks",1969,"1969","Head",95000,"F"
9,"Argentina",1107,"Asses",5111,"Stocks",1970,"1970","Head",94000,"F"
9,"Argentina",1107,"Asses",5111,"Stocks",1971,"1971","Head",94000,"F"
9,"Argentina",1107,"Asses",5111,"Stocks",1972,"1972","Head",90000,"F"
9,"Argentina",1107,"Asses",5111,"Stocks",1973,"1973","Head",90000,"F"
9,"Argentina",1107,"Asses",5111,"Stocks",1974,"1974","Head",85198,""
9,"Argentina",1107,"Asses",5111,"Stocks",1975,"1975","Head",88000,"F"
9,"Argentina",1107,"Asses",5111,"Stocks",1976,"1976","Head",90000,"F"
9,"Argentina",1107,"Asses",5111,"Stocks",1977,"1977","Head",90000,"F"
9,"Argentina",1107,"Asses",5111,"Stocks",1978,"1978","Head",90000,"F"
9,"Argentina",1107,"Asses",5111,"Stocks",1979,"1979","Head",90000,"F"
9,"Argentina",1107,"Asses",5111,"Stocks",1980,"1980","Head",90000,"F"
9,"Argentina",1107,"Asses",5111,"Stocks",1981,"1981","Head",90000,"F"
9,"Argentina",1107,"Asses",5111,"Stocks",1982,"1982","Head",90000,"F"
9,"Argentina",1107,"Asses",5111,"Stocks",1983,"1983","Head",90000,"F"
